folderidx,float,profileidx,year,month,day,lat,lon,nlat,nlon,ts1,ts2,ts3,ts4,ts5,ts6,ts7,ts8,ssh_slope,ssh_dir,bath_slope,bath_dir,roughness
0.000000000000000000e+00,1.901932000000000000e+06,4.100000000000000000e+01,2.022000000000000000e+03,6.000000000000000000e+00,3.000000000000000000e+01,-3.770700000000000074e+01,6.491330000000000666e+01,-3.781410000000000338e+01,6.521370000000000289e+01,-1.046520962561022472e+01,-2.764921969180393901e+00,-1.973424017900407890e+00,-4.194087205994883938e+00,-1.333085531841552429e-01,-4.851739252878744524e-01,-2.669769870515466548e-01,-6.028966270371707847e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,4.300000000000000000e+01,2.022000000000000000e+03,7.000000000000000000e+00,2.000000000000000000e+01,-3.779209999999999781e+01,6.561490000000000578e+01,-3.795989999999999753e+01,6.638559999999999661e+01,-1.266707439478790675e+01,-2.198461656089033767e+00,-5.205474451150171600e-01,-4.451654284077716461e+00,-4.964587974281903238e-01,1.235694361658056378e-01,-3.282083791125265937e-01,-3.106619875619880955e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,4.400000000000000000e+01,2.022000000000000000e+03,7.000000000000000000e+00,2.900000000000000000e+01,-3.795989999999999753e+01,6.638559999999999661e+01,-3.811820000000000164e+01,6.700509999999999877e+01,-1.139740320340061430e+01,-2.619445863060025914e+00,-1.973658812492630643e+00,-4.298360886396193514e+00,-8.017683518135519660e-02,-1.707429510143980145e-01,-1.582645387417170868e-01,-6.286559845172672023e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,4.600000000000000000e+01,2.022000000000000000e+03,8.000000000000000000e+00,1.800000000000000000e+01,-3.832119999999999749e+01,6.722069999999999368e+01,-3.845570000000000022e+01,6.733679999999999666e+01,-1.191303798978786155e+01,-2.669567597152779470e+00,-2.232953680492062443e+00,-4.186657805393827481e+00,-3.663571770159253227e-02,-4.066966913883747481e-02,-1.549272819315351823e-02,-1.810628948441444230e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,4.700000000000000000e+01,2.022000000000000000e+03,8.000000000000000000e+00,2.800000000000000000e+01,-3.845570000000000022e+01,6.733679999999999666e+01,-3.843010000000000304e+01,6.744929999999999382e+01,-1.250742752629470189e+01,-2.407906847903405811e+00,-1.694135812940411601e+00,-4.871349678296994945e+00,1.428669841791863626e-01,-1.546366590335481184e-01,-2.222230739478884276e-01,-9.233485885192505016e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,4.900000000000000000e+01,2.022000000000000000e+03,9.000000000000000000e+00,1.700000000000000000e+01,-3.816089999999999804e+01,6.771160000000000423e+01,-3.785119999999999862e+01,6.769880000000000564e+01,-1.262774079275910211e+01,-2.320177074059851741e+00,-9.990658519542041649e-01,-5.232957356179541719e+00,2.603211625524975981e-01,1.440463254650019564e-01,-2.137058377217000704e-01,-1.066400081307810888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,5.200000000000000000e+01,2.022000000000000000e+03,1.000000000000000000e+01,1.700000000000000000e+01,-3.734830000000000183e+01,6.640919999999999845e+01,-3.750200000000000244e+01,6.535339999999999350e+01,-1.201531808532890722e+01,-2.497476190766948712e+00,-1.538151981201140606e+00,-4.696274953639846927e+00,9.098656749076351746e-02,8.946802242899985769e-02,-1.754526711582992671e-01,-3.068324947731064511e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,5.500000000000000000e+01,2.022000000000000000e+03,1.100000000000000000e+01,1.500000000000000000e+01,-3.852499999999999858e+01,6.420390000000000441e+01,-3.874940000000000140e+01,6.334230000000000160e+01,-1.196558051594908889e+01,-2.442430198696954324e+00,-1.052720454701342678e+00,-5.037881724302487818e+00,1.707452095542948134e-01,1.713805838902754952e-01,-3.913443039905459830e-01,1.015210087033087821e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,5.600000000000000000e+01,2.022000000000000000e+03,1.100000000000000000e+01,2.500000000000000000e+01,-3.874940000000000140e+01,6.334230000000000160e+01,-3.901729999999999876e+01,6.241129999999999711e+01,-1.228421174201496768e+01,-2.395787003935287540e+00,-1.213091895658224839e+00,-4.942778220977955606e+00,1.568985364383230774e-01,1.846658613111583080e-01,-1.699335915684697662e-01,-4.597861908100937811e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,5.700000000000000000e+01,2.022000000000000000e+03,1.200000000000000000e+01,5.000000000000000000e+00,-3.901729999999999876e+01,6.241129999999999711e+01,-3.922420000000000329e+01,6.134949999999999903e+01,-1.247930297726508897e+01,-2.300635742289310226e+00,-5.870087549031147711e-01,-5.346173346877026944e+00,2.913040556446624962e-01,4.407146361928881984e-01,-2.899617322390783958e-01,-3.025823752616575713e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,5.800000000000000000e+01,2.022000000000000000e+03,1.200000000000000000e+01,1.500000000000000000e+01,-3.922420000000000329e+01,6.134949999999999903e+01,-3.910430000000000206e+01,6.036339999999999861e+01,-1.374279112030235694e+01,-2.009015013414568784e+00,-3.018183423971455004e-01,-5.758075239190892702e+00,4.053530171755418965e-01,6.828086418477941066e-01,-1.188849957573521049e-01,-2.700042101539388284e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.901932000000000000e+06,5.900000000000000000e+01,2.022000000000000000e+03,1.200000000000000000e+01,2.500000000000000000e+01,-3.910430000000000206e+01,6.036339999999999861e+01,-3.877900000000000347e+01,5.973129999999999740e+01,-1.393717895945583152e+01,-2.100565926091309876e+00,-6.909542571386075860e-01,-5.628634505216584039e+00,3.125271256411453757e-01,3.706712916026164706e-01,-8.847018844841673946e-02,-4.168454543129730405e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
